City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Acarau,BR,2022-05-16 04:05:20,-2.8856,-40.12,75.92,92,52,9.33,broken clouds
249,Locri,IT,2022-05-16 04:10:35,38.2414,16.2623,63.32,55,76,8.93,broken clouds
250,Karratha,AU,2022-05-16 04:02:50,-20.7377,116.8463,83.46,32,33,14.9,scattered clouds
251,Yining,CN,2022-05-16 04:10:36,29.0361,114.5636,74.62,48,54,2.33,broken clouds
252,Boyuibe,BO,2022-05-16 04:10:36,-20.4167,-63.2833,58.95,73,98,10.0,overcast clouds
253,Gamba,GA,2022-05-16 04:05:41,-2.65,10.0,76.73,92,98,4.65,overcast clouds
254,Bangangte,CM,2022-05-16 04:10:37,5.1409,10.5198,61.68,94,79,2.64,broken clouds
255,Porto Novo,BJ,2022-05-16 04:05:45,6.4965,2.6036,79.09,87,90,4.7,overcast clouds
256,Huilong,CN,2022-05-16 04:07:20,31.8111,121.655,72.75,43,65,6.46,broken clouds
257,Grindavik,IS,2022-05-16 04:05:11,63.8424,-22.4338,48.67,100,100,14.97,overcast clouds
258,Havre-Saint-Pierre,CA,2022-05-16 04:10:38,50.2334,-63.5986,36.86,85,100,11.56,overcast clouds
259,Limerick,IE,2022-05-16 04:10:39,52.6647,-8.6231,57.15,97,100,8.72,overcast clouds
260,Half Moon Bay,US,2022-05-16 04:04:52,37.4636,-122.4286,61.45,83,100,27.63,overcast clouds
